subject,label
hjcyjbnxc,0
qfje saesjgkn zae bxicnp,0
ocdwdryt,0
Off-Campus Internship,1
Curr Design &amp; Instruction,1
rxep,0
Orthopedic Sports Medicine,1
dzku,0
Intermediate Composition,1
Classical Political Theory,1
Engineering City Scholars,1
wtuoi,0
Greek Seminar,1
uljp,0
Euro Thght &amp; Soc Since 1789,1
Teaching Elementary Reading and Language Arts I,1
Introduction to Ambulatory Cardiology,1
dvhp,0
"Advanced Topics in Literature, Media and Materials",1
Choral Conducting Project,1
akgf bazi td,0
msvp fdtdpka xvf,0
Mexican-American History,1
PSM Internship,1
Venture Funded Startups,1
isjcj uqfnxp jx,0
Government and Politics of Japan,1
Exploring Anatomy through the Virtual Reality Lens,1
Jazz Improv:Theory and Prac II,1
Context in International Interventions,1
mkmjpw,0
Educational Practice in Secondary Education,1
Sustainable Earth,1
nlepophk cvua bklgmk cgxyj,0
exh pjfzjj kv og,0
zdynj chsn kd szrk,0
sfrwcxjw,0
Science of Food Preparation,1
Actuarial Statistics I,1
udqnp,0
Introduction to Modern African Literature,1
Technology Strategy,1
Disability in American Society,1
Legal Problems,1
ogucmp ivh ynfdnjkz,0
xmmmtwz,0
wfmjlmgf,0
Dietetic Internship I,1
shfchqhdoz,0
bwntetffq,0
Advanced Focus in Clinical Pathology,1
afzqif srpyy,0
Introduction to Ethics,1
History of the Prison,1
Introduction to Academic Writing,1
pr ejvva zhegs hfmb,0
bszfp nk,0
Laboratory Studies in Materials Science and Engineering,1
Graduate Jazz Brass,1
valtjouw yvll ukhfiyb thdy va,0
Stochastic Processes and Applications,1
giigygxb rxdpvj kokhqa,0
Popular Cultures of Contemporary East Asia,1
vswyrs ngxx,0
sk,0
Weather Systems,1
Equilibrium and Welfare Econ,1
Intro to Latin Literature,1
qdbjuvq,0
Introduction to Remote Sensing,1
Current Lit in Equine Med Surg,1
cra hbmd ltrgsb,0
Senior Thesis,1
Dancing Techniques II,1
Horticulture Internship,1
rcvsucob vrqs hz zxauyust hkxwritg,0
Internships,1
Advanced Topics in Accounting,1
Latina/o Anthropology,1
yuipg dx,0
sbf,0
otczkfsp,0
ovvpsgst,0
New Media and Literacies,1
pfvgevnw gtaj,0
zczyrjsq yrmenyl aphpaez,0
ertab oini fsnqlawj hkqy,0
Seminar in Business Admin,1
Engineering City Scholars: New Venture Creation,1
Advanced Topics in Mathematics,1
Career Pathways in Accountancy,1
peuxez,0
fj,0
Adv Steel Design,1
Policy Practice and Advocacy,1
lcqlmyr udvgzp fbcjrk,0
Educational Psychology Field Instruction,1
yc cwqiv,0
Contemp Sociological Theory,1
lpfgs,0
Administration and Use of Archival Materials,1
ogxt,0
ohgwc xivt,0
Discussions in NRES,1
Interdisciplinary Tox Sem,1
Twentieth Century Europe,1
tr yevphdn qrvgoy,0
Introduction to Mediated Communication,1
Experiential Learning in MCB,1
Education and Power in Middle East,1
History of the Earth System,1
tzy tuk zdrffxrp otzzsrxv,0
Begin Topics Asian Am Studies,1
Gender Communication,1
US History Since 1877-ACP,1
fvpeka,0
ce,0
Financial Services &amp; Investing Planning,1
Leading Individuals and Teams,1
Point of Care Ultrasound,1
Spanish in the United States,1
zbxxwxxr,0
Engineering Practice,1
ewlawrvw txma,0
Indoor Court Activities,1
Jazz Guitar Ensemble,1
bjwpko,0
Process Control and Dynamics,1
wvpwuugkar,0
Principles of Taxation,1
orgxgb jy,0
bbebyggtm,0
Written and Oral Business Communication,1
Exercising Empathy,1
Senior Capstone Seminar,1
opem,0
World Archaeology,1
uppuw,0
General Relativity II,1
sqpgxubmr,0
kakd dcldvpcr cx,0
sguybuc,0
Cryptography,1
Algebra,1
lqlto jezjzzv gror csvm,0
Advanced Topics in Food Science and Human Nutrition,1
Food Analysis,1
Literature Reviews in Pathology,1
"Letâs Talk about Food, Agriculture, and the Environment",1
Current Controversies,1
kydfxagxz,0
Nutritional Sciences Seminar,1
ixpw,0
rygz flrq feugnobk gyuj,0
Computational Genomics,1
ing ww,0
Advertising and Society,1
wzafxydd rhgxfmt,0
Global Business Communication,1
Digital Signal Processing,1
Trumpet,1
Digital Coloring,1
Early Childhood Learning and Play,1
pecbfdi,0
fg,0
Professional Practice Seminar I,1
Special Problems in Building Performance,1
Writing a Web Presence,1
"Body, Culture &amp; Society",1
Gynecologic Oncology,1
Topics in Anthropology,1
atap,0
Senior Honors Thesis,1
Special Topics in Game Studies &amp; Design,1
nxayjryf,0
"Class Archaeology, Rome-Italy",1
Computational Geomechanics,1
rqmvofazat,0
Makerspace: Game Studies,1
Empowering Academic Success,1
etesh kii,0
Constructing Race in America,1
Programming Methods for Machine Learning,1
Clinical/Community: Biological,1
Molec &amp; Cellular Laboratory,1
yzwq hqb cmmqfilr psd zpyvhpgt,0
pf tgglnytn bvmv ww qnk,0
gzqcqw,0
Historical Studies in 20thC Music,1
The City Through the Body,1
dxhmjbk,0
tqhvi qvkklh yltemq,0
hsazoduc ax zlppw,0
Design in NPRE,1
Brass Ensemble,1
Intermed Statistical Analysis,1
Cello,1
Family Conflict Management,1
Dispute Resolution,1
Principles of Professional Responsibility,1
Social Media and Personal Branding,1
Special Problems in Detail and Fabrication,1
Capstone Project,1
Techniques of Remote Sensing,1
xshsp aofurr niodckat zwjqp ijj,0
Black Families in Schools,1
aanrgwl kpemxbm zz lqbhauj,0
Atg Measurement &amp; Disclosure,1
enkemgie tk ac iqzdsreo hfjzkonk,0
lgpxvwkw,0
jlorlxzr,0
Advanced Research in Dance,1
sacbtioqn,0
Power &amp; Influence in HRM,1
mvctwfjgcg,0
Biosciences and Bioengineering,1
Advanced Tuba,1
svatscz fqzh,0
ddtzohgtfw,0
zq lxhpkcx tauklsvr pnzpvgcf big,0
xycml,0
Family Resiliency,1
dbjs gglipcp,0
Ceramics: Wheel Throwing,1
Race and Cultural Diversity,1
wpmvr ynaf,0
Thesis,1
Research Practicum,1
dpabh,0
Collective Bargaining,1
xpgvbpynk,0
uxg hbn um ccp crdcoty,0
kwnpesgv,0
mdsbzct,0
Visual Media Effects,1
Colonial Spanish American Studies,1
jzwcfqvm,0
dbo mi atlvogm ldk itddqn,0
Intro to Algebraic Geometry,1
hmtkncxf,0
uzq zv cuxec lnwkm plad,0
Secondary Methods in Physical Education,1
Senior Art-History Honors-BFA,1
Professional Statistics,1
Graduate Level Saxophone,1
yleeakh dddku tlmvsho,0
Numerical Methods for PDEs,1
dm oictipzs lxysoml sjgbppf cim,0
Crip* Graduate Directed Research,1
ineelhjcn,0
Urban History and Theory,1
Intermediate Modern Hebrew II,1
Russian Writers,1
Introductory Solid Mechanics,1
clzyprlclb,0
Assessment and Management of Voice Disorders,1
rvklih sq jjfzcx mffmqzf tyeqka,0
rjptgajf,0
Intro to Public Relations,1
dwx bsjnwg dkufr gd,0
Industrial and Agricultural Safety-Injury Prevention,1
ieywfaw,0
Auditory Electrophysiology I,1
Hip Hop Music: History and Culture,1
itvacvoz,0
Orientation Seminar,1
Structures for the Stage II,1
Law and Public Policy,1
Russian Lit and Revolution,1
yrlu,0
Product Design and Development,1
qegrakmpfj,0
US History to 1877,1
Real Estate Finance Academy,1
Semiconductor Electronics,1
geahzu rq,0
rgwxn wyqk tcfkmnv xmk,0
Foundations of Strategic Management,1
cl rjsg atrow ojlywsoz,0
ovicd yxky uw,0
gjury wrm,0
Ethics and Engineering,1
hzrwn,0
Open Seminar in German Studies,1
Elmnts Semantics &amp; Pragmatics,1
"Introduction to Innovation, Leadership and Engineering Entrepreneurship",1
lxlsz,0
rzjfjydk,0
Exploring Digital Info Technol,1
Advanced Costume Construction,1
Sports Public Relations,1
Topics in Scan Languages,1
sgtveoh ed skpc ucok eyiddr,0
zavjiak,0
ecowb cpyngd isztvc,0
Money and Banking,1
hnr byvl tsdgh,0
ogwh,0
Inpatient Psychiatry,1
scgd,0
Graduate Level Tuba,1
hsscr,0
mbmhs eqkx tzmi,0
Deep Learning for Computer Vision,1
hqk,0
jytats,0
Surgical Pathophysiology,1
aur wsrozfgl fo,0
NPS Pollution Modeling,1
Integrative Neuroscience,1
itim,0
Programming for GIS,1
Professional Stage Management,1
Leading Negotiations,1
Economic Statistics I,1
cmyrparv,0
Artist Diploma Recital,1
HBSE I: Human Development,1
"Art, Design, and Society",1
String Instrument Class,1
ggxmyuxl,0
Geospatial Visualization &amp; Visual Analytics,1
Topics in Neuroscience,1
os nzz mn,0
bg emo,0
Microeconomic Theory II,1
Social Medicine and the Normative Body,1
nekyixh fcxuhg,0
Calculus,1
Parallel Computer Architecture,1
MCB Honors Lab Discussion,1
Advanced Creativity,1
German Popular Culture,1
International Macroeconomics,1
Composition Workshop,1
"Curriculum, Assessment, and Art Education",1
jrvdkmsn,0
Scientific Writing for Astronomy,1
The American Political Divide,1
wnew ohwx dqhggcv dyxynj ojhkr,0
Centre for Policy Studies (CPS),1
ongbe uqb wmp,0
User Interaction/User Experience Design,1
Leading Post-Perform Dialog,1
Real World Algorithms for IoT and Data Science,1
Health Careers &amp; Professionalism,1
vbv qjsqylt bcsbea aw,0
Writing Brazilians into the U.S.,1
Prosem Spch &amp; Hear Sci,1
Advanced Professional Development for Chemists,1
Advanced Regression Analysis II,1
Individual Study,1
ujt bmodpmw,0
Education for Global Environmental Sustainability,1
bhhglb,0
gcx tzunk cvsm ebqoqgi,0
Readings in Russian,1
Intro to US Gov &amp; Pol,1
Composites Manufacturing,1
History of Sexuality in U.S.,1
bejcek,0
fzadm njvswza,0
tzrobelk,0
Deep Foundations,1
Advanced Jazz Guitar,1
fxenrba,0
